battery_id,archive,ambient_temp_C,discharge_cycles_total,capacity_missing_or_empty,capacity_zero,capacity_negative,capacity_above_rated_2Ah,last_capacity_Ah,max_capacity_Ah,capacity_fade_pct,final_SOH_pct_of_rated,spearman_rho,frac_increasing_steps,EOL_cycle_literal,EOL_cycle_confirmed,EOL_reliable,first_cycle_artifact,regime_break,regime_break_cycles,anomaly_notes
B0036,3. BatteryAgingARC_25-44,24,197,0,0,0,1,1.5591,2.4441,-55.6,77.96,-0.9639,0.3282,1,,False,True,False,,cycle 1 is a conditioning/partial discharge (1.002 Ah vs 1.801 Ah early plateau) - not true initial capacity; first crossing at cycle 1 is spurious (cycle-1 conditioning artifact); confirmed sustained crossing = none; 1 value(s) above rated 2.0 Ah (max 2.444)
B0038,3. BatteryAgingARC_25-44,24;44,47,0,0,0,0,1.5301,1.7864,-70.38,76.51,0.2002,0.4,1,2,True,True,False,,cycle 1 is a conditioning/partial discharge (0.898 Ah vs 1.061 Ah early plateau) - not true initial capacity; mixed ambient temperature within file (24;44 C); weak/absent monotonic decay (Spearman rho=0.20)
B0039,3. BatteryAgingARC_25-44,24;44,47,0,0,0,0,1.3153,1.7716,-1004.97,65.77,0.144,0.2222,1,2,True,True,False,,cycle 1 is a conditioning/partial discharge (0.119 Ah vs 0.471 Ah early plateau) - not true initial capacity; mixed ambient temperature within file (24;44 C); weak/absent monotonic decay (Spearman rho=0.14)
B0040,3. BatteryAgingARC_25-44,24;44,47,0,0,0,0,0.557,1.7341,17.29,27.85,0.0892,0.3556,1,2,True,True,False,,cycle 1 is a conditioning/partial discharge (0.673 Ah vs 0.780 Ah early plateau) - not true initial capacity; mixed ambient temperature within file (24;44 C); weak/absent monotonic decay (Spearman rho=0.09)
B0041,3. BatteryAgingARC_25-44,4,67,0,0,0,0,0.8365,1.2156,-1403.94,41.82,0.69,0.5606,1,1,True,False,False,,cold test (4 C): capacity never exceeds 1.4 Ah even when fresh - threshold not physically applicable; weak/absent monotonic decay (Spearman rho=0.69)
B0042,3. BatteryAgingARC_25-44,4;22,112,0,1,0,0,1.3375,1.7315,22.63,66.87,-0.9927,0.1719,41,103,False,False,True,41-86,protocol/regime break: 46 contiguous cycles (41-86) collapse to ~0.06-0.1 Ah then recover - not a single degradation trajectory; first crossing at cycle 41 is spurious (collapsed-capacity regime block); confirmed sustained crossing = cycle 103; 1 exact-zero capacity value(s) (dropped); mixed ambient temperature within file (4;22 C)
B0043,3. BatteryAgingARC_25-44,4;22,112,0,1,0,0,1.2768,1.7138,25.5,63.84,-0.9737,0.0781,41,101,False,False,True,41-86,protocol/regime break: 46 contiguous cycles (41-86) collapse to ~0.06-0.1 Ah then recover - not a single degradation trajectory; first crossing at cycle 41 is spurious (collapsed-capacity regime block); confirmed sustained crossing = cycle 101; 1 exact-zero capacity value(s) (dropped); mixed ambient temperature within file (4;22 C)
B0044,3. BatteryAgingARC_25-44,4;22,112,0,1,0,0,1.2486,1.6865,25.96,62.43,-0.974,0.125,41,96,False,False,True,41-86,protocol/regime break: 46 contiguous cycles (41-86) collapse to ~0.06-0.1 Ah then recover - not a single degradation trajectory; first crossing at cycle 41 is spurious (collapsed-capacity regime block); confirmed sustained crossing = cycle 96; 1 exact-zero capacity value(s) (dropped); mixed ambient temperature within file (4;22 C)
B0045,4. BatteryAgingARC_45_46_47_48,4,72,0,2,0,0,0.6069,1.082,43.9,30.35,-0.9743,0.3188,1,1,True,False,False,,2 exact-zero capacity value(s) (dropped); cold test (4 C): capacity never exceeds 1.4 Ah even when fresh - threshold not physically applicable
B0046,4. BatteryAgingARC_45_46_47_48,4,72,0,3,0,0,1.1538,1.7282,33.24,57.69,-0.9193,0.1765,17,17,True,False,False,,3 exact-zero capacity value(s) (dropped)
B0047,4. BatteryAgingARC_45_46_47_48,4,72,0,3,0,0,1.1567,1.6743,30.91,57.84,-0.8581,0.1912,10,10,True,False,False,,3 exact-zero capacity value(s) (dropped)
B0048,4. BatteryAgingARC_45_46_47_48,4,72,0,3,0,0,1.2231,1.658,26.23,61.16,-0.8164,0.2353,12,16,True,False,False,,3 exact-zero capacity value(s) (dropped)
B0049,5. BatteryAgingARC_49_50_51_52,4,25,0,1,0,1,0.6914,2.3786,19.45,34.57,-0.9901,0.2273,1,3,True,True,False,,cycle 1 is a conditioning/partial discharge (0.858 Ah vs 1.373 Ah early plateau) - not true initial capacity; 1 exact-zero capacity value(s) (dropped); 1 value(s) above rated 2.0 Ah (max 2.379)
B0050,5. BatteryAgingARC_49_50_51_52,4,25,4,1,0,1,0.2781,2.6401,67.78,13.9,-0.6281,0.4444,1,5,True,True,False,,cycle 1 is a conditioning/partial discharge (0.863 Ah vs 1.602 Ah early plateau) - not true initial capacity; 4 discharge cycle(s) with missing/empty Capacity (dropped); 1 exact-zero capacity value(s) (dropped); 1 value(s) above rated 2.0 Ah (max 2.640)
B0051,5. BatteryAgingARC_49_50_51_52,4,25,0,1,0,1,0.6778,2.3309,-5.34,33.89,-0.9891,0.2727,1,2,True,True,False,,cycle 1 is a conditioning/partial discharge (0.643 Ah vs 1.229 Ah early plateau) - not true initial capacity; 1 exact-zero capacity value(s) (dropped); 1 value(s) above rated 2.0 Ah (max 2.331)
B0052,5. BatteryAgingARC_49_50_51_52,4,25,21,0,0,0,1.3516,1.4183,-57.04,67.58,-1.0,0.0,1,3,True,True,False,,cycle 1 is a conditioning/partial discharge (0.861 Ah vs 1.371 Ah early plateau) - not true initial capacity; 21 discharge cycle(s) with missing/empty Capacity (dropped)
B0053,6. BatteryAgingARC_53_54_55_56,4,56,0,1,0,0,1.0103,1.1541,5.51,50.51,-0.5465,0.5,1,1,True,False,False,,1 exact-zero capacity value(s) (dropped); cold test (4 C): capacity never exceeds 1.4 Ah even when fresh - threshold not physically applicable
B0054,6. BatteryAgingARC_53_54_55_56,4,103,0,1,0,0,0.8374,1.1665,-13.17,41.87,-0.9432,0.4,1,2,True,True,False,,cycle 1 is a conditioning/partial discharge (0.740 Ah vs 1.096 Ah early plateau) - not true initial capacity; 1 exact-zero capacity value(s) (dropped); cold test (4 C): capacity never exceeds 1.4 Ah even when fresh - threshold not physically applicable
B0055,6. BatteryAgingARC_53_54_55_56,4,102,0,0,0,0,0.9908,1.3199,-24.0,49.54,-0.8744,0.39,1,2,True,True,False,,cycle 1 is a conditioning/partial discharge (0.799 Ah vs 1.257 Ah early plateau) - not true initial capacity; cold test (4 C): capacity never exceeds 1.4 Ah even when fresh - threshold not physically applicable
B0056,6. BatteryAgingARC_53_54_55_56,4,102,0,0,0,0,1.1291,1.3444,-43.78,56.45,-0.7098,0.4,1,2,True,True,False,,cycle 1 is a conditioning/partial discharge (0.785 Ah vs 1.297 Ah early plateau) - not true initial capacity; cold test (4 C): capacity never exceeds 1.4 Ah even when fresh - threshold not physically applicable
