Battery_ID,Cycle,Voltage_mean,Voltage_min,Voltage_max,Voltage_range,Current_mean,Current_std,Temperature_mean,Temperature_max,Temperature_rise,Cycle_number,SoH,RUL,Reached_EOL
B0005,38,3.557016,2.661727,4.200012,1.538285,-1.922049,0.416126,31.488746,38.072528,14.557985,38,89.14615,87,0
B0005,39,3.556248,2.699288,4.199237,1.499949,-1.91623,0.428938,31.329996,37.801336,14.518923,39,88.6517,86,0
B0005,40,3.553276,2.612793,4.199396,1.586603,-1.92208,0.41729,31.569551,38.39874,14.959372,40,88.6519,85,0
B0005,41,3.556266,2.663706,4.199579,1.535873,-1.916242,0.429548,32.111426,38.749292,14.728714,41,88.3936,84,0
B0005,42,3.55631,2.666845,4.199547,1.532702,-1.915881,0.430187,32.271676,38.872755,14.616668,42,88.11575,83,0
B0005,43,3.558951,2.684431,4.194091,1.50966,-1.911441,0.439441,31.842292,38.503541,14.510839,43,88.38085,82,0
B0005,44,3.553442,2.645224,4.200715,1.555491,-1.915817,0.429985,31.759815,38.270091,14.441305,44,88.1334,81,0
B0005,45,3.551012,2.660353,4.199098,1.538745,-1.91513,0.431038,31.419112,38.116848,14.766335,45,87.5865,80,0
B0005,46,3.551318,2.692685,4.199399,1.506714,-1.914849,0.432314,31.331627,38.041527,14.805313,46,87.0925,79,0
B0005,47,3.549003,2.670545,4.199123,1.528578,-1.914413,0.432784,31.359341,38.179803,14.965001,47,86.80455,78,0
B0005,48,3.559765,2.605158,4.190409,1.585251,-1.938881,0.377264,34.310885,40.712182,14.064808,48,89.6812,77,0
B0005,49,3.562345,2.672012,4.199934,1.527922,-1.92751,0.404067,33.435856,39.885261,14.184885,49,89.15945,76,0
B0005,50,3.558337,2.674271,4.199365,1.525094,-1.926719,0.405589,32.666981,39.182874,14.346685,50,88.3682,75,0
B0005,51,3.554013,2.630942,4.199024,1.568082,-1.926131,0.406843,32.284234,38.951565,14.589948,51,87.8509,74,0
B0005,52,3.552376,2.662973,4.199432,1.536459,-1.920235,0.42018,32.007392,38.607511,14.588353,52,87.34355,73,0
B0005,53,3.549619,2.612942,4.199641,1.586699,-1.920101,0.420608,32.063871,38.92036,14.900691,53,87.08585,72,0
B0005,54,3.549381,2.61572,4.199306,1.583586,-1.914428,0.432859,32.437546,39.232731,14.896646,54,86.82115,71,0
B0005,55,3.547212,2.62877,4.19895,1.57018,-1.908341,0.445425,32.168099,38.964927,14.840647,55,86.3161,70,0
B0005,56,3.546705,2.665511,4.198342,1.532831,-1.902207,0.457524,32.057526,38.839273,14.867707,56,85.79035,69,0
B0005,57,3.54463,2.650495,4.198996,1.548501,-1.902048,0.458249,31.975921,38.827964,14.988637,57,85.52665,68,0
B0005,58,3.543629,2.643236,4.19917,1.555934,-1.896491,0.469512,32.216893,39.140079,15.183156,58,85.3007,67,0
B0005,59,3.544495,2.65645,4.199247,1.542797,-1.895971,0.470022,32.55633,39.349612,14.884494,59,85.01555,66,0
B0005,60,3.54092,2.626178,4.199255,1.573077,-1.889965,0.480925,32.400481,39.294445,15.026594,60,84.729,65,0
B0005,61,3.541196,2.658223,4.199611,1.541388,-1.88937,0.482253,32.293719,39.104877,14.958476,61,84.24515,64,0
B0005,62,3.540671,2.6951,4.199445,1.504345,-1.877688,0.502962,32.136071,39.046261,15.110609,62,83.7237,63,0
B0005,63,3.537605,2.639092,4.198992,1.5599,-1.883107,0.49361,32.382685,39.398032,15.315497,63,83.72845,62,0
B0005,64,3.538422,2.685721,4.197785,1.512064,-1.87636,0.504505,32.309,39.106784,14.677967,64,83.1858,61,0
B0005,65,3.539286,2.690179,4.201331,1.511152,-1.870955,0.5144,32.566369,39.44449,15.115678,65,82.9507,60,0
B0005,66,3.53369,2.639895,4.19934,1.559445,-1.87056,0.514996,32.46543,39.509602,15.375632,66,82.6927,59,0
B0005,67,3.534368,2.689915,4.198916,1.509001,-1.864005,0.525537,32.347056,39.334865,15.354571,67,82.1327,58,0
B0005,68,3.531294,2.659358,4.198537,1.539179,-1.863693,0.526308,32.371539,39.437233,15.462158,68,81.8929,57,0
B0005,69,3.530913,2.665703,4.198944,1.533241,-1.85782,0.536024,32.455493,39.513752,15.475354,69,81.63675,56,0
B0005,70,3.528723,2.642987,4.19958,1.556593,-1.857216,0.536602,32.500172,39.601703,15.519414,70,81.38765,55,0
B0005,71,3.526255,2.631117,4.198782,1.567665,-1.856834,0.537514,32.501003,39.687464,15.643853,71,81.10625,54,0
B0005,72,3.528684,2.696157,4.199105,1.502948,-1.844889,0.555915,32.472893,39.535351,15.527397,72,80.5663,53,0
B0005,73,3.525557,2.66676,4.198511,1.531751,-1.844418,0.556718,32.504802,39.650237,15.656774,73,80.32815,52,0
B0005,74,3.522681,2.640319,4.198732,1.558413,-1.843879,0.557422,32.512183,39.699291,15.712681,74,80.0757,51,0
B0005,75,3.524673,2.69893,4.1988,1.49987,-1.837113,0.567076,32.456928,39.560763,15.632548,75,79.51845,50,0
B0005,76,3.521316,2.668247,4.198754,1.530507,-1.831596,0.575842,32.447059,39.637081,15.758327,76,79.28945,49,0
B0005,77,3.518034,2.647921,4.20031,1.552389,-1.83112,0.575873,32.328897,39.43977,15.528747,77,79.24715,48,0
B0005,78,3.523684,2.674163,4.201124,1.526961,-1.84328,0.558198,32.844885,39.839022,15.366073,78,79.7763,47,0
B0005,79,3.519147,2.689253,4.19815,1.508897,-1.829799,0.57726,32.317316,39.417949,15.594636,79,78.7365,46,0
B0005,80,3.516234,2.688809,4.198524,1.509715,-1.823675,0.586875,32.063761,39.262782,15.856811,80,78.2451,45,0
B0005,81,3.514773,2.674356,4.198841,1.524485,-1.817672,0.595208,32.219976,39.472378,15.965795,81,77.9883,44,0
B0005,82,3.513299,2.643029,4.19812,1.555091,-1.817924,0.595241,32.712023,40.037541,16.051299,82,77.9741,43,0
B0005,83,3.514485,2.658486,4.19832,1.539834,-1.817161,0.596127,32.945022,40.14273,15.810714,83,77.73445,42,0
B0005,84,3.510968,2.629782,4.198047,1.568265,-1.81103,0.604238,32.85755,40.116563,15.904885,84,77.4437,41,0
B0005,85,3.510936,2.662297,4.199047,1.53675,-1.809444,0.605973,32.629663,39.875033,15.874605,85,76.91185,40,0
B0005,86,3.509393,2.682381,4.19767,1.515289,-1.802654,0.614702,32.379859,39.61962,15.951524,86,76.3957,39,0
B0005,87,3.506678,2.640189,4.197601,1.557412,-1.803154,0.614777,32.682159,40.067325,16.213424,87,76.42625,38,0
B0005,88,3.510989,2.693769,4.197986,1.504217,-1.796567,0.622528,32.993874,40.247167,16.003398,88,76.13235,37,0
B0005,89,3.510305,2.695787,4.198164,1.502377,-1.795977,0.623305,33.045397,40.302531,15.997993,89,75.8743,36,0
B0005,90,3.522222,2.692055,4.22292,1.530865,-1.822917,0.588061,32.856296,40.094181,15.977346,90,80.29095,35,0
B0005,91,3.516349,2.629071,4.200423,1.571352,-1.829428,0.579039,33.339502,40.522385,15.795681,91,78.19245,34,0
B0005,92,3.51344,2.631344,4.198372,1.567028,-1.816317,0.596717,33.351565,40.568864,15.833474,92,77.4046,33,0
B0005,93,3.515138,2.698397,4.198353,1.499956,-1.803369,0.613824,33.147486,40.278048,15.776074,93,76.6188,32,0
B0005,94,3.508304,2.633849,4.197874,1.564025,-1.802671,0.614695,33.007276,40.292185,16.026041,94,76.34765,31,0
B0005,95,3.509191,2.671566,4.197956,1.52639,-1.795894,0.623302,32.919908,40.184384,16.035574,95,75.84785,30,0
B0005,96,3.50681,2.654081,4.197918,1.543837,-1.795345,0.624319,32.999033,40.320066,16.111458,96,75.5949,29,0
B0005,97,3.506091,2.65685,4.197739,1.540889,-1.789352,0.632033,33.037723,40.336506,16.108292,97,75.3282,28,0
B0005,98,3.503716,2.636305,4.197855,1.56155,-1.788388,0.632891,33.077403,40.432676,16.173341,98,75.07725,27,0
B0005,99,3.506748,2.699517,4.197307,1.49779,-1.781545,0.641436,33.05468,40.314539,16.085553,99,74.5422,26,0
B0005,100,3.505881,2.698216,4.197528,1.499312,-1.775312,0.648607,33.115704,40.386662,16.112565,100,74.2934,25,0
B0005,101,3.504168,2.691171,4.197437,1.506266,-1.774238,0.649806,33.129421,40.433846,16.170034,101,74.0207,24,0
B0005,102,3.503057,2.690162,4.197717,1.507555,-1.77386,0.650736,33.130681,40.444793,16.191035,102,73.7605,23,0
B0005,103,3.498232,2.635503,4.192455,1.556952,-1.78097,0.642223,33.200692,40.584997,16.240739,103,74.2952,22,0
B0005,104,3.506586,2.659475,4.202845,1.54337,-1.78791,0.633757,33.786975,40.998692,15.940464,104,74.8046,21,0
B0005,105,3.501457,2.644555,4.197953,1.553398,-1.780229,0.643239,33.673365,40.997808,16.147133,105,74.04005,20,0
B0005,106,3.501658,2.67196,4.198018,1.526058,-1.773102,0.651471,33.535818,40.842138,16.153685,106,73.4877,19,0
B0005,107,3.496619,2.659821,4.192163,1.532342,-1.770588,0.654213,33.3227,40.690125,16.245888,107,72.69505,18,0
B0005,108,3.499165,2.68836,4.196993,1.508633,-1.760063,0.667001,33.34623,40.69938,16.316565,108,72.7073,17,0
B0005,109,3.496081,2.637673,4.197604,1.559931,-1.765575,0.660798,33.649489,41.060262,16.344915,109,72.7512,16,0
B0005,110,3.495901,2.645121,4.196407,1.551286,-1.758827,0.667772,33.792695,41.19696,16.345529,110,72.4521,15,0
B0005,111,3.497587,2.698012,4.197099,1.499087,-1.751643,0.675969,33.524467,40.844467,16.251347,111,71.93355,14,0
B0005,112,3.495699,2.692894,4.196909,1.504015,-1.75131,0.676783,33.390423,40.764204,16.379186,112,71.67225,13,0
B0005,113,3.492875,2.648392,4.197105,1.548713,-1.751184,0.676787,33.673702,41.112125,16.466972,113,71.6698,12,0
B0005,114,3.495511,2.683213,4.196245,1.513032,-1.744621,0.683802,33.910806,41.272566,16.339693,114,71.40325,11,0
B0005,115,3.494233,2.68496,4.196803,1.511843,-1.743636,0.684605,33.785068,41.155749,16.350756,115,71.146,10,0
B0005,116,3.491197,2.669922,4.196227,1.526305,-1.742533,0.685495,33.611268,41.032372,16.453794,116,70.87145,9,0
B0005,117,3.488909,2.664106,4.196558,1.532452,-1.741984,0.686403,33.455986,40.93727,16.57946,117,70.62045,8,0
B0005,118,3.487376,2.634099,4.196871,1.562772,-1.742168,0.686435,33.723267,41.240705,16.623954,118,70.62895,7,0
B0005,119,3.491994,2.683787,4.196796,1.513009,-1.735841,0.693348,34.050076,41.4365,16.407222,119,70.3799,6,0
B0005,120,3.491586,2.660032,4.189287,1.529255,-1.756788,0.670544,33.889347,41.167039,16.007545,120,71.6696,5,0
B0005,121,3.495576,2.650012,4.201145,1.551133,-1.757318,0.669469,34.067649,41.362166,16.150015,121,71.91275,4,0
B0005,122,3.493899,2.693697,4.196926,1.503229,-1.742763,0.685602,33.751681,41.021988,16.169979,122,70.86775,3,0
B0005,123,3.491592,2.697073,4.196901,1.499828,-1.735264,0.693315,33.464823,40.788188,16.312234,123,70.3491,2,0
B0005,124,3.488573,2.6807,4.196689,1.515989,-1.734435,0.694224,33.402107,40.815061,16.469842,124,70.0602,1,0
B0005,125,3.486902,2.66954,4.196339,1.526799,-1.728039,0.701102,33.410689,40.858374,16.531744,125,69.83505,0,1
B0005,126,3.485549,2.671695,4.196181,1.524486,-1.732689,0.696109,33.389849,40.839877,16.559595,126,69.56425,0,1
B0005,127,3.483891,2.661289,4.195771,1.534482,-1.726074,0.702875,33.370043,40.853761,16.614737,127,69.31145,0,1
B0005,128,3.483199,2.667818,4.195456,1.527638,-1.719539,0.709444,33.27216,40.747952,16.624455,128,69.02185,0,1
B0005,129,3.483627,2.684008,4.196544,1.512536,-1.718583,0.71043,33.222444,40.68794,16.634934,129,68.7618,0,1
B0005,130,3.480172,2.658526,4.194357,1.535831,-1.717672,0.711459,33.262077,40.781075,16.718212,130,68.52565,0,1
B0005,131,3.478452,2.637225,4.195864,1.558639,-1.717708,0.71127,33.31203,40.881593,16.795206,131,68.52545,0,1
B0005,132,3.478578,2.651426,4.195585,1.544159,-1.710967,0.717882,33.252879,40.811915,16.802633,132,68.2368,0,1
B0005,133,3.48252,2.676385,4.188484,1.512099,-1.718421,0.710444,33.745054,41.117935,16.39839,133,68.7696,0,1
B0005,134,3.488682,2.694914,4.200347,1.505433,-1.726047,0.702928,33.88842,41.248795,16.405715,134,69.3056,0,1
B0005,135,3.48585,2.697334,4.198175,1.500841,-1.712022,0.716929,33.735376,41.16243,16.581426,135,68.4925,0,1
B0005,136,3.478794,2.64254,4.195715,1.553175,-1.711023,0.717885,33.591311,41.164376,16.824089,136,68.23915,0,1
B0005,137,3.481283,2.699226,4.195756,1.49653,-1.703421,0.72522,33.323667,40.864216,16.834078,137,67.7161,0,1
B0005,138,3.480352,2.67648,4.195912,1.519432,-1.703575,0.725014,33.691962,41.254346,16.852627,138,67.7321,0,1
B0005,139,3.478113,2.642142,4.195824,1.553682,-1.703491,0.725187,33.88764,41.450232,16.80242,139,67.7352,0,1
B0005,140,3.476587,2.644725,4.196258,1.551533,-1.702338,0.7263,33.673081,41.277085,16.869926,140,67.46575,0,1
B0005,141,3.473377,2.632271,4.196613,1.564342,-1.701424,0.727213,33.411988,41.064605,16.992861,141,67.20945,0,1
B0005,142,3.472637,2.639101,4.195851,1.55675,-1.695044,0.733352,33.299265,40.992849,17.119459,142,66.94955,0,1
B0005,143,3.473439,2.637842,4.196002,1.55816,-1.695058,0.733563,33.599807,41.290406,17.115527,143,66.94575,0,1
B0005,144,3.475478,2.668286,4.196208,1.527922,-1.693781,0.734399,33.619612,41.227402,16.941079,144,66.70035,0,1
B0005,145,3.472288,2.64902,4.195535,1.546515,-1.686943,0.740645,33.39452,41.046196,17.033093,145,66.4322,0,1
B0005,146,3.471374,2.664059,4.195744,1.531685,-1.686065,0.741517,33.167345,40.858744,17.143683,146,66.15855,0,1
B0005,147,3.472616,2.688361,4.195868,1.507507,-1.679583,0.747451,33.109622,40.791969,17.214947,147,65.90845,0,1
B0005,148,3.473815,2.686975,4.195348,1.508373,-1.679794,0.747613,33.465018,41.141278,17.1814,148,65.9233,0,1
B0005,149,3.470143,2.650754,4.196066,1.545312,-1.685174,0.74264,33.442619,41.144293,17.17649,149,65.91465,0,1
B0005,150,3.467524,2.664632,4.184535,1.519903,-1.686381,0.741601,33.037928,40.661842,17.067488,150,66.1936,0,1
B0005,151,3.476753,2.640021,4.20124,1.561219,-1.715777,0.713571,33.494949,41.046695,16.809013,151,68.0061,0,1
B0005,152,3.475896,2.674199,4.195704,1.521505,-1.700722,0.728144,33.491363,41.046205,16.878831,152,66.97655,0,1
B0005,153,3.475812,2.696427,4.195745,1.499318,-1.692814,0.735549,33.329809,40.868303,16.880908,153,66.45145,0,1
B0005,154,3.474655,2.692834,4.196363,1.503529,-1.68611,0.741545,33.273028,40.852836,16.976332,154,66.1837,0,1
B0005,155,3.472302,2.681748,4.195793,1.514045,-1.685044,0.742502,33.229879,40.852706,17.052224,155,65.9317,0,1
B0005,156,3.472931,2.696791,4.195797,1.499006,-1.678525,0.748506,33.208608,40.826325,17.073885,156,65.67375,0,1
B0005,157,3.469619,2.664696,4.196349,1.531653,-1.683912,0.743662,33.236115,40.903088,17.132405,157,65.6601,0,1
B0005,158,3.470018,2.679192,4.195609,1.516417,-1.677378,0.749468,33.186601,40.843374,17.144634,158,65.3898,0,1
B0005,159,3.470763,2.699983,4.19534,1.495357,-1.676425,0.750475,33.174058,40.817921,17.136595,159,65.15165,0,1
B0005,160,3.468111,2.666301,4.195402,1.529101,-1.676279,0.750657,33.253985,40.946994,17.193507,160,65.16785,0,1
B0005,161,3.464863,2.63085,4.195685,1.564835,-1.681799,0.745566,33.319809,41.074938,17.28387,161,65.1705,0,1
B0005,162,3.467864,2.673348,4.195561,1.522213,-1.675081,0.751487,33.337658,41.024764,17.187167,162,64.89435,0,1
B0005,163,3.464021,2.632764,4.196067,1.563303,-1.675366,0.751314,33.290767,41.062142,17.310871,163,64.9037,0,1
B0005,164,3.466462,2.668737,4.196641,1.527904,-1.674488,0.752429,33.275688,40.983663,17.242239,164,64.6732,0,1
B0005,165,3.468509,2.696396,4.195624,1.499228,-1.667447,0.75847,33.320678,40.982342,17.178364,165,64.40015,0,1
B0005,166,3.466806,2.679483,4.195862,1.516379,-1.66747,0.758669,33.37315,41.063751,17.214629,166,64.37265,0,1
B0005,167,3.471071,2.678714,4.184827,1.506113,-1.688898,0.739392,33.713519,41.04703,16.112925,167,65.45075,0,1
B0005,168,3.475472,2.655378,4.201969,1.546591,-1.697928,0.731404,33.865318,41.051008,15.957711,168,66.25395,0,1
B0006,1,3.556946,2.475768,4.179823,1.704055,-1.990533,0.201498,32.142778,39.162987,14.885419,1,101.7669,108,0
B0006,2,3.561476,2.351526,4.177288,1.825762,-1.990278,0.201909,32.293075,39.246203,14.597592,2,101.257,107,0
B0006,3,3.566752,2.44048,4.178121,1.737641,-1.989947,0.202473,32.244147,38.999202,14.295145,3,100.6663,106,0
B0006,4,3.568795,2.479156,4.178562,1.699406,-1.989601,0.202976,32.147117,38.843628,14.193125,4,100.66425,105,0
B0006,5,3.563971,2.280188,4.17825,1.898062,-1.989548,0.202794,32.066873,38.977989,14.343783,5,100.0264,104,0
B0006,6,3.573551,2.439284,4.193217,1.753933,-1.990104,0.202295,32.034478,38.839899,14.4965,6,100.69495,103,0
B0006,7,3.571139,2.281207,4.193733,1.912526,-1.990089,0.202157,32.111575,39.046108,14.615162,7,100.65505,102,0
B0006,8,3.568151,2.366411,4.176827,1.810416,-1.989117,0.204482,32.112576,38.875075,14.22464,8,98.4395,101,0
B0006,9,3.569283,2.43602,4.176369,1.740349,-1.989212,0.204699,32.035662,38.726054,14.161077,9,98.4083,100,0
B0006,10,3.563389,2.186438,4.176898,1.99046,-1.989191,0.204871,31.99528,38.986297,14.460863,10,97.86155,99,0
B0006,11,3.566659,2.340602,4.17758,1.836978,-1.989132,0.205457,31.874128,38.659789,14.247741,11,97.27995,98,0
B0006,12,3.568704,2.426302,4.177996,1.751694,-1.988781,0.206584,32.12096,38.849792,14.183724,12,96.73755,97,0
B0006,13,3.569207,2.47537,4.176316,1.700946,-1.988732,0.207294,32.110212,38.751283,13.917981,13,96.164,96,0
B0006,14,3.565927,2.342365,4.177992,1.835627,-1.98872,0.207207,31.989061,38.768538,14.137888,14,95.5945,95,0
B0006,15,3.561242,2.1884,4.17744,1.98904,-1.988787,0.207699,31.878814,38.846861,14.384945,15,95.05335,94,0
B0006,16,3.557882,2.120698,4.175616,2.054918,-1.988591,0.208036,31.767451,38.86589,14.597169,16,94.45995,93,0
B0006,17,3.562824,2.369981,4.177603,1.807622,-1.988489,0.208961,31.789916,38.647579,14.292861,17,93.9139,92,0
B0006,18,3.559195,2.247992,4.176355,1.928363,-1.988347,0.209366,31.828835,38.792182,14.407923,18,93.3785,91,0
B0006,19,3.558091,2.411532,4.17745,1.765918,-1.977455,0.255514,31.890449,38.770222,14.30435,19,93.37945,90,0
B0006,20,3.565899,2.203356,4.174584,1.971228,-1.989235,0.203886,31.511771,37.543206,13.031594,20,98.98135,89,0
B0006,21,3.570814,2.358878,4.175224,1.816346,-1.989047,0.205105,31.874488,37.903626,12.993038,21,97.8775,88,0
B0006,22,3.566682,2.218673,4.177217,1.958544,-1.988683,0.205484,31.539115,37.670161,13.100092,22,97.29075,87,0
B0006,23,3.566839,2.339723,4.176682,1.836959,-1.988545,0.206723,31.220867,37.34167,13.116096,23,96.2123,86,0
B0006,24,3.571052,2.399751,4.190384,1.790633,-1.988564,0.20595,31.119005,37.28979,13.250644,24,97.29905,85,0
B0006,25,3.566631,2.491411,4.176973,1.685562,-1.988056,0.208219,31.033244,37.167945,13.152201,25,95.0704,84,0
B0006,26,3.552739,2.13873,4.173452,2.034722,-1.977297,0.254357,31.001249,37.515778,13.611965,26,93.9337,83,0
B0006,27,3.556096,2.346064,4.176459,1.830395,-1.977169,0.255158,30.921435,37.24166,13.424773,27,93.4153,82,0
B0006,28,3.55045,2.327338,4.176261,1.848923,-1.966039,0.293714,30.92936,37.272332,13.509748,28,92.8012,81,0
B0006,29,3.546007,2.486312,4.172856,1.686544,-1.944599,0.357708,31.00811,37.207135,13.429207,29,92.26,80,0
B0006,30,3.554258,2.292166,4.188188,1.896022,-1.976916,0.255893,30.967795,37.496078,13.73041,30,92.86145,79,0
B0006,31,3.555857,2.434301,4.189992,1.755691,-1.999755,0.147004,31.100972,37.250074,13.504562,31,96.2388,78,0
B0006,32,3.553731,2.47262,4.186982,1.714362,-1.988434,0.209015,31.307369,37.396991,13.20127,32,94.1116,77,0
B0006,33,3.545265,2.403422,4.186483,1.783061,-1.977131,0.255973,31.13134,37.285207,13.311729,33,92.76385,76,0
B0006,34,3.538409,2.400668,4.187722,1.787054,-1.965706,0.295182,30.828714,37.08039,13.560233,34,91.96255,75,0
B0006,35,3.529769,2.31943,4.184171,1.864741,-1.954249,0.330102,30.761533,36.980243,13.45081,35,90.927,74,0
B0006,36,3.530068,2.340173,4.18678,1.846607,-1.949061,0.345668,31.303057,37.598741,13.651074,36,90.67385,73,0
B0006,37,3.524888,2.38296,4.186483,1.803523,-1.937355,0.37507,31.064321,37.336809,13.612138,37,89.8551,72,0
B0006,38,3.519093,2.351856,4.184742,1.832886,-1.93126,0.389801,30.966547,37.394998,13.885324,38,89.05025,71,0
B0006,39,3.515181,2.35351,4.186114,1.832604,-1.925414,0.40325,30.826456,37.35234,14.092752,39,88.55065,70,0
B0006,40,3.514029,2.394806,4.186378,1.791572,-1.919844,0.416672,31.080769,37.586774,14.174872,40,88.02355,69,0
B0006,41,3.51414,2.441886,4.185743,1.743857,-1.908733,0.440544,31.694288,38.207045,14.213169,41,87.51455,68,0
B0006,42,3.509578,2.391849,4.184995,1.793146,-1.902768,0.452347,31.875582,38.340432,14.114993,42,86.97465,67,0
B0006,43,3.511071,2.316615,4.175623,1.859008,-1.909325,0.438888,31.543288,38.52154,14.589939,43,87.73385,66,0
B0006,44,3.515918,2.411099,4.191705,1.780606,-1.930637,0.391395,31.420983,38.037072,14.235215,44,88.29695,65,0
B0006,45,3.505853,2.451013,4.185468,1.734455,-1.907114,0.442205,31.158371,37.934286,14.609241,45,86.68945,64,0
B0006,46,3.501038,2.471216,4.184202,1.712986,-1.895354,0.466077,31.156614,37.884708,14.657192,46,85.6663,63,0
B0006,47,3.497408,2.470969,4.185839,1.71487,-1.889271,0.47771,31.206611,38.065369,14.855698,47,85.1204,62,0
B0006,48,3.538887,2.428802,4.172917,1.744115,-1.981936,0.236452,33.611693,39.78844,13.185495,48,91.18595,61,0
B0006,49,3.532743,2.355143,4.186982,1.831839,-1.965328,0.297626,32.856301,39.212903,13.601536,49,90.4064,60,0
B0006,50,3.521215,2.365934,4.186538,1.820604,-1.947064,0.348954,32.210982,38.669378,13.880867,50,88.78805,59,0
B0006,51,3.509311,2.348196,4.182282,1.834086,-1.924163,0.406189,31.96509,38.517007,14.217968,51,87.23705,58,0
